bmi,height,weight
22.8,179.8,73.9
25.1,176.4,78.2
20.2,186.5,70.5
21.1,170.0,61.0
21.0,174.4,64.0
29.0,178.9,92.9
31.0,178.9,99.4
21.0,180.6,68.8
19.4,169.7,56.1
17.9,173.8,54.2
21.7,172.7,64.9
25.8,172.8,77.2
16.3,177.9,51.9
22.0,172.6,65.7
21.7,165.4,59.6
22.9,171.5,67.6
28.4,168.1,80.3
26.4,172.4,78.5
20.5,176.2,63.7
27.9,178.5,89.0
33.0,175.2,101.4
20.1,182.6,67.3
23.6,181.6,78.0
19.9,172.0,59.1
19.5,191.5,71.7
22.6,179.1,72.7
28.2,180.7,92.1
20.3,175.3,62.5
21.6,165.0,59.0
23.4,163.4,62.6
18.8,165.8,51.8
21.1,185.5,72.8
25.8,175.2,79.2
22.3,174.4,68.1
25.2,181.6,83.2
20.9,193.8,78.7
19.1,169.3,54.8
21.8,167.5,61.4
46.9,172.5,139.6
17.4,169.2,50.0
21.5,171.7,63.4
25.5,173.6,77.1
23.1,192.3,85.7
25.0,180.4,81.5
22.6,166.8,62.9
16.6,164.2,44.9
31.9,176.8,99.9
20.1,175.0,61.6
26.0,177.0,81.7
28.2,170.2,81.8
19.3,176.0,59.9
24.5,172.6,73.1
18.8,175.0,57.7
20.5,168.1,58.1
21.4,177.2,67.2
27.3,168.8,78.0
39.4,173.8,119.1
20.6,176.0,64.0
25.5,170.5,74.2
24.7,184.5,84.2
21.9,162.9,58.2
30.7,182.9,103.0
28.8,167.1,80.6
18.3,176.2,57.1
23.5,182.4,78.5
35.9,190.9,131.1
21.2,172.7,63.4
21.5,182.6,71.7
25.4,180.8,83.1
24.5,165.8,67.4
21.0,174.5,64.0
21.6,180.2,70.3
29.8,164.1,80.3
20.8,173.0,62.3
20.2,175.5,62.3
24.9,164.7,67.7
22.5,169.0,64.3
20.4,179.1,65.5
24.1,176.4,75.3
21.3,175.4,65.7
25.5,174.3,77.5
20.8,170.7,60.7
22.6,170.3,65.8
21.1,175.0,64.7
29.7,180.3,96.8
30.5,170.2,88.6
20.2,176.5,63.2
29.9,181.0,98.0
20.6,169.6,59.4
26.8,174.3,81.6
18.8,176.6,58.7
24.1,165.5,66.2
21.1,176.1,65.5
22.0,172.5,65.6
31.3,172.7,93.4
30.5,172.4,90.7
21.0,181.2,69.2
24.5,160.8,63.6
19.9,170.4,57.9
26.9,176.1,83.6
22.1,167.1,61.8
18.7,173.3,56.3
30.0,170.1,87.0
20.9,184.0,71.0
24.6,174.6,75.1
20.3,174.3,61.9
23.0,177.7,72.7
20.6,175.9,63.9
28.1,185.3,96.8
17.5,167.8,49.5
24.6,187.8,86.9
30.4,174.4,92.7
22.1,176.0,68.6
21.5,169.4,61.9
19.3,178.8,62.0
20.9,170.6,61.1
23.2,171.4,68.4
21.2,168.4,60.4
22.5,180.4,73.3
37.3,175.0,114.3
35.3,182.2,117.2
21.7,179.0,69.7
25.4,171.0,74.3
18.4,181.1,60.5
14.4,177.2,45.4
28.7,178.5,91.6
37.1,171.9,109.8
21.7,174.4,66.2
20.2,180.4,65.9
26.5,173.6,80.1
28.7,178.7,91.9
24.6,178.6,78.6
21.5,170.6,62.7
21.4,180.2,69.8
24.7,174.6,75.6
21.8,172.8,65.2
26.6,171.3,78.1
25.7,176.7,80.5
27.3,176.6,85.4
20.4,179.0,65.5
20.7,176.6,64.7
19.2,183.5,64.9
18.9,168.6,53.8
30.3,181.0,99.3
23.0,174.6,70.4
25.6,174.6,78.2
21.7,172.3,64.6
15.1,174.5,46.0
35.4,170.5,103.0
25.7,173.7,77.7
18.7,174.3,57.1
22.5,161.8,59.0
22.2,172.2,66.1
21.0,180.1,68.4
22.6,178.6,72.3
17.5,169.3,50.4
30.3,168.2,85.8
26.2,179.8,84.9
27.6,170.8,80.8
25.9,174.7,79.2
20.9,165.6,57.4
20.3,175.0,62.4
26.0,172.0,77.2
25.0,177.4,78.7
21.3,178.6,68.1
24.4,171.2,71.7
22.4,166.8,62.5
23.6,166.4,65.4
26.2,174.6,79.9
26.1,174.7,79.7
23.4,170.7,68.4
25.4,171.8,75.1
21.2,175.1,65.1
23.4,172.9,70.2
18.1,180.6,59.3
15.4,180.2,50.2
27.3,168.2,77.3
23.1,178.4,73.7
22.4,178.2,71.3
24.8,183.8,83.8
24.1,172.2,71.5
24.5,171.4,72.0
32.6,167.1,91.2
32.2,175.7,99.7
21.2,172.4,63.1
20.7,173.1,62.1
28.5,174.0,86.3
22.1,167.3,62.1
29.7,174.7,90.7
20.5,172.2,60.8
34.4,181.0,112.9
28.6,171.8,84.6
24.6,172.2,73.2
23.8,178.8,76.2
25.8,173.0,77.5
30.9,168.7,88.1
20.1,171.4,59.1
27.5,170.6,80.3
27.4,169.6,79.0
29.4,188.8,104.8
21.4,160.9,55.5
19.1,175.3,58.9
22.9,165.5,62.8
21.0,165.5,57.7
24.0,171.2,70.4
31.3,173.0,93.8
21.8,172.9,65.4
21.5,174.9,65.8
16.7,167.5,46.9
23.6,172.6,70.5
18.3,170.2,53.3
25.1,181.5,82.9
21.6,168.9,61.7
24.2,175.5,74.6
23.8,168.3,67.5
21.1,168.2,59.7
18.7,168.5,53.2
27.9,174.1,84.8
26.1,167.9,73.6
30.7,167.5,86.4
21.9,179.5,70.7
27.9,176.4,87.0
31.8,172.0,94.3
19.4,175.9,60.1
22.5,169.8,64.9
24.4,186.4,84.9
27.1,170.4,78.9
23.0,172.1,68.3
27.4,178.5,87.6
28.4,169.7,81.8
22.3,179.2,71.9
19.2,173.1,57.8
24.5,173.1,73.7
27.2,167.6,76.5
18.5,164.5,50.2
18.5,175.7,57.2
17.2,184.7,59.0
22.1,178.3,70.4
24.0,173.1,72.2
22.1,169.8,63.8
24.5,176.5,76.6
21.1,173.7,63.8
19.9,172.3,59.2
20.5,172.9,61.5
31.5,169.4,90.6
19.7,172.9,58.9
25.9,173.1,77.8
24.2,170.5,70.5
34.3,181.9,113.8
33.2,170.0,96.0
18.8,173.2,56.5
27.2,167.2,76.2
23.6,163.6,63.2
15.8,173.1,47.6
22.0,178.0,70.0
19.6,179.1,62.9
29.4,172.5,87.6
19.4,172.8,58.1
24.0,172.8,71.7
26.8,179.0,86.0
18.6,175.3,57.3
22.3,168.9,63.9
29.6,179.5,95.5
20.7,181.6,68.3
18.0,167.6,50.7
30.3,169.0,86.6
33.7,178.7,107.9
19.6,168.6,55.8
24.4,186.9,85.5
23.1,178.7,73.8
22.1,174.8,67.6
25.2,165.8,69.4
23.3,177.5,73.5
20.3,168.8,58.1
20.2,159.9,51.7
27.2,183.7,91.8
24.1,185.8,83.3
22.8,173.9,69.1
24.8,178.2,78.9
28.2,174.0,85.5
21.5,167.9,60.8
20.4,161.5,53.3
23.2,182.0,77.0
21.3,169.0,61.0
25.3,182.3,84.1
25.6,174.5,78.0
23.3,177.9,73.9
19.7,187.5,69.6
20.7,171.3,61.0
21.5,173.1,64.6
17.4,175.8,54.0
33.7,171.9,99.7
23.0,174.7,70.4
18.8,175.9,58.3
32.5,173.4,97.9
23.8,172.1,70.7
20.5,177.9,65.0
30.3,175.9,93.9
26.6,180.7,87.0
22.6,173.2,67.8
24.5,171.6,72.4
20.2,166.3,56.0
22.6,168.7,64.6
28.3,175.5,87.3
19.9,169.7,57.5
21.4,163.2,57.1
23.9,182.0,79.4
26.7,166.3,74.1
17.4,172.2,51.6
22.3,168.0,63.0
23.2,176.7,72.5
20.9,179.0,67.0
34.4,168.1,97.3
25.0,182.1,83.2
22.5,174.3,68.4
24.8,174.7,75.8
23.6,175.1,72.4
32.2,176.8,100.7
20.5,174.8,62.9
26.9,177.9,85.4
19.3,165.9,53.2
19.2,178.8,61.5
24.8,180.0,80.6
19.4,175.2,59.6
15.4,183.8,52.3
30.1,180.7,98.5
24.0,175.1,73.6
22.7,176.1,70.6
17.9,174.8,54.7
22.4,176.0,69.5
24.9,173.1,74.8
20.7,173.2,62.2
37.8,176.5,117.9
22.9,166.8,63.9
22.8,173.6,68.9
20.6,179.0,66.2
19.4,175.8,60.2
21.2,174.0,64.2
24.3,172.2,72.1
22.3,175.4,68.8
23.4,177.0,73.5
22.4,177.3,70.7
25.1,173.1,75.3
16.9,173.5,50.9
16.5,169.2,47.5
20.6,177.2,64.9
33.8,168.0,95.6
31.4,174.6,95.9
25.0,177.6,79.0
23.3,173.1,70.0
21.5,169.8,62.0
42.3,165.5,115.9
28.7,166.2,79.5
22.0,176.4,68.5
25.9,165.2,70.8
18.9,173.6,57.1
19.3,180.6,63.2
29.7,166.7,82.7
21.2,168.8,60.5
23.0,178.0,73.1
21.8,164.3,58.9
23.4,180.7,76.5
21.9,170.1,63.5
28.8,174.1,87.3
19.5,181.1,64.2
21.7,162.7,57.7
26.3,173.1,78.9
19.1,174.2,58.2
24.5,171.8,72.6
29.1,177.5,91.7
24.5,176.9,76.9
30.4,174.9,93.0
19.5,168.1,55.2
22.1,175.4,68.0
25.6,172.7,76.6
20.6,174.1,62.5
22.3,167.5,62.6
44.8,176.0,138.9
18.3,181.1,60.2
21.2,176.4,66.2
18.7,167.1,52.3
26.5,174.7,80.9
17.1,176.6,53.6
25.9,176.3,80.8
40.1,182.7,134.1
22.9,177.7,72.6
26.0,176.5,81.1
18.3,177.5,57.8
29.4,181.1,96.7
21.2,171.6,62.5
25.6,169.7,73.8
20.8,179.4,67.1
21.8,174.5,66.5
24.7,165.7,68.0
23.4,175.9,72.6
27.5,184.7,94.1
24.6,165.1,67.3
20.3,172.3,60.4
25.4,174.8,77.8
23.7,172.7,70.8
16.5,175.5,51.1
24.1,180.2,78.3
23.6,182.1,78.5
31.9,172.3,94.9
